2014-4-1,420
2014-4-2,900
2014-4-3,1290
2014-4-4,420
2014-4-5,1710
2014-4-6,1290
2014-4-7,2610
2014-4-8,840
2014-4-9,450
2014-4-10,420
2014-4-11,420
2014-4-12,870
2014-4-13,1800
2014-4-14,1740
2014-4-15,1350
2014-4-16,450
2014-4-17,420
2014-4-18,1320
2014-4-19,420
2014-4-20,420
2014-4-21,450
2014-4-22,900
2014-4-23,1740
2014-4-24,900
2014-4-25,870
2014-4-26,1770
2014-4-27,870
2014-4-28,870
2014-4-29,870
2014-4-30,450
2014-5-1,1770
2014-5-2,135
2014-5-3,177
2014-5-4,45
2014-5-5,180
2014-5-6,177
2014-5-7,87
2014-5-8,135
2014-5-9,219
2014-5-10,132
2014-5-11,129
2014-5-12,87
2014-5-13,87
2014-5-14,135
2014-5-15,405
2014-5-16,90
2014-5-17,900
2014-5-18,1290
2014-5-19,2220
2014-5-20,870
2014-5-21,1800
2014-5-22,1740
2014-5-23,870
2014-5-24,3090
2014-5-25,870
2014-5-26,900
2014-5-27,2220
2014-5-28,1350
2014-5-29,900
2014-5-30,2220
2014-5-31,1800
2014-6-1,3960
2014-6-2,1770
2014-6-3,3570
2014-6-4,2220
2014-6-5,2700
2014-6-6,1800
2014-6-7,840
2014-6-8,2250
2014-6-9,420
2014-6-10,2250
2014-6-11,1320
2014-6-12,3150
2014-6-13,3540
2014-6-14,3090
2014-6-15,2190
2014-6-16,1800
2014-6-17,900
2014-6-18,1260
2014-6-19,420
2014-6-20,1350
2014-6-21,420
2014-6-22,3150
2014-6-23,1350
2014-6-24,2250
2014-6-25,900
2014-6-26,840
2014-6-27,840
2014-6-28,1350
2014-6-29,1260
2014-6-30,2700
